Temp,Humidity,Moisture
19.032499999999995,40.9025,93387.3695
18.989000000000004,41.57399999999999,93387.36200000001
19.450500000000005,40.8125,93372.68199999997
19.4805,40.70399999999999,93379.00500000002
19.475999999999996,40.21000000000001,93380.96399999998
17.964500000000005,44.3635,93382.07700000002
16.385499999999997,49.60199999999999,93371.02599999997
16.0035,50.06850000000001,93372.778
16.6975,48.159500000000016,93378.25699999998
15.500000000000004,51.670500000000004,93383.718
15.116000000000003,53.83,93421.18449999999
15.371999999999996,54.14450000000001,93441.78600000004
18.047999999999995,47.67800000000001,93464.84200000002
21.5865,40.919000000000004,93501.83400000002
24.651999999999997,35.74249999999999,93536.61049999998
27.6655,30.748,93558.7355
26.57349999999999,32.21800000000001,93554.28650000003
29.4985,25.849999999999994,93563.913
29.621,26.655500000000007,93558.34300000002
30.549,24.736500000000007,93550.30149999999
